S,Q,Std,X,R,V,W
2,55,15,40,31.875,"40,70,0,0","0.5,0.5,0,0"
2,45,15,30,27.8125,"30,60,0,0","0.5,0.5,0,0"
2,45,5,50,35,"40,50,0,0","0.5,0.5,0,0"
2,30,0,30,27.5,"30,0,0,0","1,0,0,0"
2,45,15,60,59.0625,"30,60,0,0","0.5,0.5,0,0"
2,50,0,50,50,"50,0,0,0","1,0,0,0"
2,55,5,60,64.375,"50,60,0,0","0.5,0.5,0,0"
2,50,20,70,70,"30,70,0,0","0.5,0.5,0,0"
2,50,10,40,25.625,"60,40,0,0","0.5,0.5,0,0"
2,50,10,60,45.625,"60,40,0,0","0.5,0.5,0,0"
2,40,0,40,44.6875,"40,0,0,0","1,0,0,0"
2,50,20,30,31.5625,"30,70,0,0","0.5,0.5,0,0"
2,60,0,60,65.3125,"60,0,0,0","1,0,0,0"
2,45,5,40,32.8125,"40,50,0,0","0.5,0.5,0,0"
2,55,15,70,65,"40,70,0,0","0.5,0.5,0,0"
2,45,15,30,17.8125,"30,60,0,0","0.5,0.5,0,0"
2,55,15,40,41.5625,"40,70,0,0","0.5,0.5,0,0"
2,50,10,60,37.5,"60,40,0,0","0.5,0.5,0,0"
2,50,20,30,16.875,"30,70,0,0","0.5,0.5,0,0"
2,50,0,50,44.0625,"50,0,0,0","1,0,0,0"
2,55,5,60,60.9375,"50,60,0,0","0.5,0.5,0,0"
2,50,10,40,42.5,"60,40,0,0","0.5,0.5,0,0"
2,40,0,40,43.75,"40,0,0,0","1,0,0,0"
2,55,5,50,56.25,"50,60,0,0","0.5,0.5,0,0"
2,30,0,30,28.125,"30,0,0,0","1,0,0,0"
2,45,5,50,37.1875,"40,50,0,0","0.5,0.5,0,0"
2,60,0,60,66.25,"60,0,0,0","1,0,0,0"
2,50,20,70,55.3125,"30,70,0,0","0.5,0.5,0,0"
2,45,5,40,32.5,"40,50,0,0","0.5,0.5,0,0"
2,45,15,60,63.75,"30,60,0,0","0.5,0.5,0,0"
3,50,0,50,42.8125,"50,0,0,0","1,0,0,0"
3,55,15,40,27.1875,"40,70,0,0","0.5,0.5,0,0"
3,45,15,60,56.5625,"30,60,0,0","0.5,0.5,0,0"
3,50,10,40,55.9375,"60,40,0,0","0.5,0.5,0,0"
