S,Q,Std,X,R,V,W
1,55,5,60,12.5,"50,60,0,0","0.5,0.5,0,0"
1,55,8.6602540378,40,6.25,"40,60,0,0","0.25,0.75,0,0"
1,55,8.6602540378,70,18.125,"50,70,0,0","0.75,0.25,0,0"
1,55,8.6602540378,60,13.75,"40,60,0,0","0.25,0.75,0,0"
1,55,8.6602540378,40,5,"40,60,0,0","0.25,0.75,0,0"
1,45,8.6602540378,40,7.5,"40,60,0,0","0.75,0.25,0,0"
1,45,8.6602540378,60,13.125,"40,60,0,0","0.75,0.25,0,0"
1,55,5,50,15.9375,"50,60,0,0","0.5,0.5,0,0"
1,55,8.2915619759,40,7.5,"40,50,60,70","0.25,0.25,0.25,0.25"
1,45,8.6602540378,50,6.25,"50,30,0,0","0.75,0.25,0,0"
1,55,8.6602540378,60,15.3125,"40,60,0,0","0.25,0.75,0,0"
1,55,5,60,16.875,"50,60,0,0","0.5,0.5,0,0"
1,55,8.2915619759,60,17.1875,"40,50,60,70","0.25,0.25,0.25,0.25"
1,45,8.6602540378,30,2.8125,"50,30,0,0","0.75,0.25,0,0"
1,45,8.2915619759,40,6.5625,"30,40,50,60","0.25,0.25,0.25,0.25"
1,40,0,40,5,"40,0,0,0","1,0,0,0"
1,55,8.6602540378,50,14.0625,"50,70,0,0","0.75,0.25,0,0"
1,45,5,50,12.8125,"50,40,0,0","0.5,0.5,0,0"
1,45,8.2915619759,50,3.75,"30,40,50,60","0.25,0.25,0.25,0.25"
1,55,8.6602540378,50,15.625,"50,70,0,0","0.75,0.25,0,0"
1,45,8.6602540378,50,12.5,"50,30,0,0","0.75,0.25,0,0"
1,45,8.6602540378,40,3.4375,"40,60,0,0","0.75,0.25,0,0"
1,55,8.6602540378,50,9.375,"50,70,0,0","0.75,0.25,0,0"
1,45,8.2915619759,60,11.875,"30,40,50,60","0.25,0.25,0.25,0.25"
1,30,0,30,1.875,"30,0,0,0","1,0,0,0"
1,50,0,50,10.9375,"50,0,0,0","1,0,0,0"
1,45,8.6602540378,40,5.9375,"40,60,0,0","0.75,0.25,0,0"
1,60,0,60,16.5625,"60,0,0,0","1,0,0,0"
1,45,5,40,9.0625,"50,40,0,0","0.5,0.5,0,0"
1,45,8.2915619759,30,2.5,"30,40,50,60","0.25,0.25,0.25,0.25"
1,55,8.6602540378,60,16.25,"40,60,0,0","0.25,0.75,0,0"
1,55,8.2915619759,70,18.4375,"40,50,60,70","0.25,0.25,0.25,0.25"
1,45,8.6602540378,50,12.1875,"50,30,0,0","0.75,0.25,0,0"
1,55,8.2915619759,50,12.5,"40,50,60,70","0.25,0.25,0.25,0.25"
1,55,8.6602540378,60,17.1875,"40,60,0,0","0.25,0.75,0,0"
1,45,8.2915619759,30,4.6875,"30,40,50,60","0.25,0.25,0.25,0.25"
1,55,8.6602540378,50,11.875,"50,70,0,0","0.75,0.25,0,0"
1,50,0,50,11.25,"50,0,0,0","1,0,0,0"
1,40,0,40,6.875,"40,0,0,0","1,0,0,0"
1,45,8.2915619759,40,3.4375,"30,40,50,60","0.25,0.25,0.25,0.25"
1,45,8.2915619759,60,16.875,"30,40,50,60","0.25,0.25,0.25,0.25"
1,45,8.6602540378,40,12.5,"40,60,0,0","0.75,0.25,0,0"
1,55,8.6602540378,70,20.3125,"50,70,0,0","0.75,0.25,0,0"
1,55,8.6602540378,50,12.8125,"50,70,0,0","0.75,0.25,0,0"
1,55,8.6602540378,50,8.125,"50,70,0,0","0.75,0.25,0,0"
1,45,5,40,4.0625,"50,40,0,0","0.5,0.5,0,0"
1,45,5,50,8.4375,"50,40,0,0","0.5,0.5,0,0"
1,55,8.6602540378,60,15.9375,"40,60,0,0","0.25,0.75,0,0"
1,45,8.6602540378,30,1.5625,"50,30,0,0","0.75,0.25,0,0"
1,30,0,30,1.875,"30,0,0,0","1,0,0,0"
1,45,8.6602540378,40,3.4375,"40,60,0,0","0.75,0.25,0,0"
1,55,8.2915619759,70,20.3125,"40,50,60,70","0.25,0.25,0.25,0.25"
1,55,8.6602540378,60,10.625,"40,60,0,0","0.25,0.75,0,0"
1,55,8.2915619759,50,16.875,"40,50,60,70","0.25,0.25,0.25,0.25"
1,45,8.2915619759,50,10.625,"30,40,50,60","0.25,0.25,0.25,0.25"
1,45,8.6602540378,50,5,"50,30,0,0","0.75,0.25,0,0"
1,45,8.6602540378,50,8.125,"50,30,0,0","0.75,0.25,0,0"
1,55,8.6602540378,40,14.6875,"40,60,0,0","0.25,0.75,0,0"
1,55,5,50,12.5,"50,60,0,0","0.5,0.5,0,0"
1,45,8.6602540378,40,4.375,"40,60,0,0","0.75,0.25,0,0"
1,60,0,60,15.3125,"60,0,0,0","1,0,0,0"
1,55,8.2915619759,60,17.1875,"40,50,60,70","0.25,0.25,0.25,0.25"
1,45,8.6602540378,60,18.125,"40,60,0,0","0.75,0.25,0,0"
1,55,8.2915619759,40,3.125,"40,50,60,70","0.25,0.25,0.25,0.25"
1,45,8.6602540378,50,8.4375,"50,30,0,0","0.75,0.25,0,0"
1,55,5,60,15.9375,"50,60,0,0","0.5,0.5,0,0"
1,30,0,30,2.1875,"30,0,0,0","1,0,0,0"
1,55,8.6602540378,60,14.375,"40,60,0,0","0.25,0.75,0,0"
1,45,8.6602540378,50,7.1875,"50,30,0,0","0.75,0.25,0,0"
1,55,8.2915619759,60,13.125,"40,50,60,70","0.25,0.25,0.25,0.25"
1,55,8.6602540378,60,12.5,"40,60,0,0","0.25,0.75,0,0"
1,45,5,40,5.3125,"50,40,0,0","0.5,0.5,0,0"
1,55,8.6602540378,50,13.4375,"50,70,0,0","0.75,0.25,0,0"
1,45,8.6602540378,40,4.0625,"40,60,0,0","0.75,0.25,0,0"
1,45,8.6602540378,60,21.25,"40,60,0,0","0.75,0.25,0,0"
1,55,8.6602540378,40,3.75,"40,60,0,0","0.25,0.75,0,0"
1,45,5,50,9.375,"50,40,0,0","0.5,0.5,0,0"
1,45,8.2915619759,30,1.25,"30,40,50,60","0.25,0.25,0.25,0.25"
1,55,5,50,7.5,"50,60,0,0","0.5,0.5,0,0"
1,45,8.6602540378,30,2.1875,"50,30,0,0","0.75,0.25,0,0"
1,55,5,60,17.1875,"50,60,0,0","0.5,0.5,0,0"
1,45,8.6602540378,50,5.3125,"50,30,0,0","0.75,0.25,0,0"
1,45,8.6602540378,50,8.125,"50,30,0,0","0.75,0.25,0,0"
1,55,8.6602540378,50,15,"50,70,0,0","0.75,0.25,0,0"
1,45,8.2915619759,40,6.875,"30,40,50,60","0.25,0.25,0.25,0.25"
1,55,8.2915619759,70,20.625,"40,50,60,70","0.25,0.25,0.25,0.25"
1,40,0,40,3.4375,"40,0,0,0","1,0,0,0"
1,55,8.6602540378,60,16.5625,"40,60,0,0","0.25,0.75,0,0"
1,50,0,50,7.1875,"50,0,0,0","1,0,0,0"
1,45,8.2915619759,50,8.4375,"30,40,50,60","0.25,0.25,0.25,0.25"
1,45,8.6602540378,40,2.5,"40,60,0,0","0.75,0.25,0,0"
1,55,8.2915619759,40,2.5,"40,50,60,70","0.25,0.25,0.25,0.25"
1,55,8.6602540378,70,18.125,"50,70,0,0","0.75,0.25,0,0"
1,45,8.6602540378,40,3.125,"40,60,0,0","0.75,0.25,0,0"
1,55,8.6602540378,50,14.6875,"50,70,0,0","0.75,0.25,0,0"
1,45,8.2915619759,60,13.75,"30,40,50,60","0.25,0.25,0.25,0.25"
1,60,0,60,16.5625,"60,0,0,0","1,0,0,0"
1,45,8.6602540378,50,10,"50,30,0,0","0.75,0.25,0,0"
1,30,0,30,1.5625,"30,0,0,0","1,0,0,0"
1,40,0,40,3.4375,"40,0,0,0","1,0,0,0"
1,45,5,40,4.0625,"50,40,0,0","0.5,0.5,0,0"
1,45,8.2915619759,40,5,"30,40,50,60","0.25,0.25,0.25,0.25"
1,45,8.6602540378,40,4.375,"40,60,0,0","0.75,0.25,0,0"
1,45,5,50,7.8125,"50,40,0,0","0.5,0.5,0,0"
1,55,8.6602540378,50,9.6875,"50,70,0,0","0.75,0.25,0,0"
1,55,8.2915619759,70,18.125,"40,50,60,70","0.25,0.25,0.25,0.25"
1,55,8.6602540378,40,4.6875,"40,60,0,0","0.25,0.75,0,0"
1,55,5,60,10.625,"50,60,0,0","0.5,0.5,0,0"
1,55,8.6602540378,50,11.5625,"50,70,0,0","0.75,0.25,0,0"
1,45,8.6602540378,50,8.75,"50,30,0,0","0.75,0.25,0,0"
1,55,8.6602540378,60,9.0625,"40,60,0,0","0.25,0.75,0,0"
1,55,8.2915619759,60,11.5625,"40,50,60,70","0.25,0.25,0.25,0.25"
1,55,8.6602540378,70,16.5625,"50,70,0,0","0.75,0.25,0,0"
1,45,8.2915619759,30,0.625,"30,40,50,60","0.25,0.25,0.25,0.25"
1,45,8.2915619759,60,8.4375,"30,40,50,60","0.25,0.25,0.25,0.25"
1,60,0,60,12.8125,"60,0,0,0","1,0,0,0"
1,55,5,50,10.3125,"50,60,0,0","0.5,0.5,0,0"
1,45,8.6602540378,40,4.0625,"40,60,0,0","0.75,0.25,0,0"
1,45,8.6602540378,60,9.375,"40,60,0,0","0.75,0.25,0,0"
1,50,0,50,9.6875,"50,0,0,0","1,0,0,0"
1,45,8.6602540378,40,4.6875,"40,60,0,0","0.75,0.25,0,0"
1,55,8.6602540378,60,11.25,"40,60,0,0","0.25,0.75,0,0"
1,55,8.6602540378,60,9.375,"40,60,0,0","0.25,0.75,0,0"
1,45,8.2915619759,50,2.1875,"30,40,50,60","0.25,0.25,0.25,0.25"
1,55,8.6602540378,50,7.5,"50,70,0,0","0.75,0.25,0,0"
1,55,8.2915619759,50,5.9375,"40,50,60,70","0.25,0.25,0.25,0.25"
1,55,8.2915619759,40,6.875,"40,50,60,70","0.25,0.25,0.25,0.25"
1,45,8.6602540378,30,2.1875,"50,30,0,0","0.75,0.25,0,0"
1,45,8.6602540378,50,8.75,"50,30,0,0","0.75,0.25,0,0"
2,45,8.2915619759,60,58.75,"30,40,50,60","0.25,0.25,0.25,0.25"
2,45,8.6602540378,30,29.6875,"50,30,0,0","0.75,0.25,0,0"
2,40,0,40,41.25,"40,0,0,0","1,0,0,0"
2,30,0,30,24.6875,"30,0,0,0","1,0,0,0"
2,50,0,50,52.1875,"50,0,0,0","1,0,0,0"
2,55,8.6602540378,50,62.8125,"50,70,0,0","0.75,0.25,0,0"
2,55,8.2915619759,60,68.125,"40,50,60,70","0.25,0.25,0.25,0.25"
2,55,8.2915619759,40,31.875,"40,50,60,70","0.25,0.25,0.25,0.25"
2,55,8.6602540378,70,81.5625,"50,70,0,0","0.75,0.25,0,0"
2,55,8.6602540378,60,45.3125,"40,60,0,0","0.25,0.75,0,0"
2,45,8.2915619759,50,40.625,"30,40,50,60","0.25,0.25,0.25,0.25"
2,45,8.6602540378,40,34.6875,"40,60,0,0","0.75,0.25,0,0"
2,45,8.6602540378,40,32.5,"40,60,0,0","0.75,0.25,0,0"
2,55,8.6602540378,50,58.75,"50,70,0,0","0.75,0.25,0,0"
2,45,8.2915619759,40,40.3125,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,8.6602540378,40,36.25,"40,60,0,0","0.25,0.75,0,0"
2,45,5,40,38.75,"50,40,0,0","0.5,0.5,0,0"
2,55,8.6602540378,60,60.625,"40,60,0,0","0.25,0.75,0,0"
2,55,8.6602540378,60,59.6875,"40,60,0,0","0.25,0.75,0,0"
2,60,0,60,61.25,"60,0,0,0","1,0,0,0"
2,55,8.2915619759,50,41.5625,"40,50,60,70","0.25,0.25,0.25,0.25"
2,55,5,60,64.375,"50,60,0,0","0.5,0.5,0,0"
2,45,8.6602540378,50,41.5625,"50,30,0,0","0.75,0.25,0,0"
2,45,8.6602540378,60,48.4375,"40,60,0,0","0.75,0.25,0,0"
2,45,8.6602540378,40,32.1875,"40,60,0,0","0.75,0.25,0,0"
2,45,8.6602540378,50,35.625,"50,30,0,0","0.75,0.25,0,0"
2,55,8.6602540378,50,45,"50,70,0,0","0.75,0.25,0,0"
2,45,8.6602540378,50,46.875,"50,30,0,0","0.75,0.25,0,0"
2,45,5,50,52.5,"50,40,0,0","0.5,0.5,0,0"
2,45,8.2915619759,30,27.5,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,5,50,44.6875,"50,60,0,0","0.5,0.5,0,0"
2,55,8.6602540378,60,59.6875,"40,60,0,0","0.25,0.75,0,0"
2,45,5,40,33.125,"50,40,0,0","0.5,0.5,0,0"
2,45,8.2915619759,40,11.5625,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,8.2915619759,40,27.1875,"40,50,60,70","0.25,0.25,0.25,0.25"
2,45,8.6602540378,50,49.375,"50,30,0,0","0.75,0.25,0,0"
2,55,5,60,66.5625,"50,60,0,0","0.5,0.5,0,0"
2,55,8.2915619759,70,80.3125,"40,50,60,70","0.25,0.25,0.25,0.25"
2,55,8.6602540378,50,55.625,"50,70,0,0","0.75,0.25,0,0"
2,55,8.6602540378,50,35,"50,70,0,0","0.75,0.25,0,0"
2,55,8.2915619759,60,56.875,"40,50,60,70","0.25,0.25,0.25,0.25"
2,40,0,40,35,"40,0,0,0","1,0,0,0"
2,45,8.6602540378,40,37.1875,"40,60,0,0","0.75,0.25,0,0"
2,60,0,60,55.3125,"60,0,0,0","1,0,0,0"
2,45,8.2915619759,30,29.375,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,8.6602540378,50,48.75,"50,70,0,0","0.75,0.25,0,0"
2,45,8.6602540378,40,45,"40,60,0,0","0.75,0.25,0,0"
2,45,8.6602540378,50,50.9375,"50,30,0,0","0.75,0.25,0,0"
2,45,8.6602540378,40,49.0625,"40,60,0,0","0.75,0.25,0,0"
2,45,8.6602540378,60,65.625,"40,60,0,0","0.75,0.25,0,0"
2,50,0,50,47.8125,"50,0,0,0","1,0,0,0"
2,45,8.2915619759,50,29.375,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,8.6602540378,60,72.8125,"40,60,0,0","0.25,0.75,0,0"
2,55,8.6602540378,70,80.625,"50,70,0,0","0.75,0.25,0,0"
2,45,8.6602540378,30,23.125,"50,30,0,0","0.75,0.25,0,0"
2,45,5,50,42.8125,"50,40,0,0","0.5,0.5,0,0"
2,30,0,30,22.8125,"30,0,0,0","1,0,0,0"
2,45,8.6602540378,50,62.5,"50,30,0,0","0.75,0.25,0,0"
2,55,8.2915619759,50,50.9375,"40,50,60,70","0.25,0.25,0.25,0.25"
2,45,8.2915619759,60,78.4375,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,5,50,64.6875,"50,60,0,0","0.5,0.5,0,0"
2,55,8.6602540378,40,40.9375,"40,60,0,0","0.25,0.75,0,0"
2,55,8.6602540378,60,68.75,"40,60,0,0","0.25,0.75,0,0"
2,55,8.6602540378,40,45.3125,"40,60,0,0","0.25,0.75,0,0"
2,45,8.6602540378,30,33.75,"50,30,0,0","0.75,0.25,0,0"
2,60,0,60,63.4375,"60,0,0,0","1,0,0,0"
2,55,8.6602540378,50,45.9375,"50,70,0,0","0.75,0.25,0,0"
2,45,8.6602540378,50,34.0625,"50,30,0,0","0.75,0.25,0,0"
2,30,0,30,25.3125,"30,0,0,0","1,0,0,0"
2,45,8.6602540378,50,46.875,"50,30,0,0","0.75,0.25,0,0"
2,45,5,40,30.625,"50,40,0,0","0.5,0.5,0,0"
2,55,8.6602540378,70,85,"50,70,0,0","0.75,0.25,0,0"
2,45,8.2915619759,60,60.9375,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,8.6602540378,60,77.5,"40,60,0,0","0.25,0.75,0,0"
2,45,8.2915619759,30,29.0625,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,5,60,75.9375,"50,60,0,0","0.5,0.5,0,0"
2,45,8.2915619759,50,47.8125,"30,40,50,60","0.25,0.25,0.25,0.25"
2,45,8.2915619759,40,28.75,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,8.2915619759,50,63.75,"40,50,60,70","0.25,0.25,0.25,0.25"
2,55,8.6602540378,50,70,"50,70,0,0","0.75,0.25,0,0"
2,55,5,50,55.3125,"50,60,0,0","0.5,0.5,0,0"
2,55,8.6602540378,60,65.625,"40,60,0,0","0.25,0.75,0,0"
2,55,8.2915619759,60,69.6875,"40,50,60,70","0.25,0.25,0.25,0.25"
2,55,8.2915619759,70,86.875,"40,50,60,70","0.25,0.25,0.25,0.25"
2,50,0,50,55,"50,0,0,0","1,0,0,0"
2,45,8.6602540378,40,40.3125,"40,60,0,0","0.75,0.25,0,0"
2,40,0,40,41.25,"40,0,0,0","1,0,0,0"
2,55,8.6602540378,60,80.3125,"40,60,0,0","0.25,0.75,0,0"
2,45,8.6602540378,40,41.25,"40,60,0,0","0.75,0.25,0,0"
2,45,8.6602540378,40,31.5625,"40,60,0,0","0.75,0.25,0,0"
2,45,8.6602540378,60,71.875,"40,60,0,0","0.75,0.25,0,0"
2,55,8.2915619759,40,30.9375,"40,50,60,70","0.25,0.25,0.25,0.25"
2,45,5,50,45.3125,"50,40,0,0","0.5,0.5,0,0"
2,45,8.6602540378,50,50.625,"50,30,0,0","0.75,0.25,0,0"
2,55,8.2915619759,70,90.625,"40,50,60,70","0.25,0.25,0.25,0.25"
2,45,8.2915619759,60,82.8125,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,8.2915619759,40,49.0625,"40,50,60,70","0.25,0.25,0.25,0.25"
2,45,8.6602540378,50,40.9375,"50,30,0,0","0.75,0.25,0,0"
2,55,8.6602540378,50,41.25,"50,70,0,0","0.75,0.25,0,0"
2,55,8.2915619759,60,66.5625,"40,50,60,70","0.25,0.25,0.25,0.25"
2,45,8.6602540378,50,43.125,"50,30,0,0","0.75,0.25,0,0"
2,45,8.6602540378,40,43.125,"40,60,0,0","0.75,0.25,0,0"
2,45,8.6602540378,60,72.8125,"40,60,0,0","0.75,0.25,0,0"
2,55,8.6602540378,60,72.1875,"40,60,0,0","0.25,0.75,0,0"
2,45,8.6602540378,50,55,"50,30,0,0","0.75,0.25,0,0"
2,55,8.6602540378,60,62.1875,"40,60,0,0","0.25,0.75,0,0"
2,45,8.6602540378,40,45.3125,"40,60,0,0","0.75,0.25,0,0"
2,55,5,50,41.875,"50,60,0,0","0.5,0.5,0,0"
2,45,8.2915619759,40,33.4375,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,8.6602540378,60,55.9375,"40,60,0,0","0.25,0.75,0,0"
2,55,5,60,85.625,"50,60,0,0","0.5,0.5,0,0"
2,45,8.6602540378,40,47.5,"40,60,0,0","0.75,0.25,0,0"
2,45,5,40,37.5,"50,40,0,0","0.5,0.5,0,0"
2,55,8.6602540378,50,51.25,"50,70,0,0","0.75,0.25,0,0"
2,55,8.6602540378,50,51.875,"50,70,0,0","0.75,0.25,0,0"
2,60,0,60,64.0625,"60,0,0,0","1,0,0,0"
2,30,0,30,23.125,"30,0,0,0","1,0,0,0"
2,45,5,50,46.25,"50,40,0,0","0.5,0.5,0,0"
2,55,8.2915619759,50,45,"40,50,60,70","0.25,0.25,0.25,0.25"
2,40,0,40,51.5625,"40,0,0,0","1,0,0,0"
2,45,8.2915619759,50,51.5625,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,8.6602540378,40,38.75,"40,60,0,0","0.25,0.75,0,0"
2,45,8.6602540378,30,29.6875,"50,30,0,0","0.75,0.25,0,0"
2,45,8.2915619759,30,19.6875,"30,40,50,60","0.25,0.25,0.25,0.25"
2,55,8.6602540378,70,85.3125,"50,70,0,0","0.75,0.25,0,0"
2,50,0,50,74.6875,"50,0,0,0","1,0,0,0"
2,45,5,40,49.375,"50,40,0,0","0.5,0.5,0,0"
2,45,8.2915619759,40,25.9375,"30,40,50,60","0.25,0.25,0.25,0.25"
2,45,8.2915619759,30,28.75,"30,40,50,60","0.25,0.25,0.25,0.25"
2,45,8.6602540378,60,78.75,"40,60,0,0","0.75,0.25,0,0"
2,55,8.2915619759,50,69.0625,"40,50,60,70","0.25,0.25,0.25,0.25"
2,55,5,60,74.0625,"50,60,0,0","0.5,0.5,0,0"
2,55,8.6602540378,50,54.375,"50,70,0,0","0.75,0.25,0,0"
2,55,8.2915619759,70,87.5,"40,50,60,70","0.25,0.25,0.25,0.25"
2,45,8.6602540378,40,42.8125,"40,60,0,0","0.75,0.25,0,0"
2,55,8.6602540378,60,75,"40,60,0,0","0.25,0.75,0,0"
2,45,8.6602540378,40,41.25,"40,60,0,0","0.75,0.25,0,0"
2,60,0,60,77.8125,"60,0,0,0","1,0,0,0"
2,55,8.6602540378,60,65,"40,60,0,0","0.25,0.75,0,0"
2,55,8.2915619759,40,22.1875,"40,50,60,70","0.25,0.25,0.25,0.25"
2,55,5,50,39.6875,"50,60,0,0","0.5,0.5,0,0"
2,55,8.6602540378,50,48.4375,"50,70,0,0","0.75,0.25,0,0"
2,45,8.6602540378,50,46.25,"50,30,0,0","0.75,0.25,0,0"
2,55,8.2915619759,60,62.1875,"40,50,60,70","0.25,0.25,0.25,0.25"
2,55,8.6602540378,70,90.625,"50,70,0,0","0.75,0.25,0,0"
2,55,8.6602540378,40,26.25,"40,60,0,0","0.25,0.75,0,0"
2,40,0,40,38.75,"40,0,0,0","1,0,0,0"
2,50,0,50,45.3125,"50,0,0,0","1,0,0,0"
2,45,8.6602540378,50,50.3125,"50,30,0,0","0.75,0.25,0,0"
2,45,5,50,48.75,"50,40,0,0","0.5,0.5,0,0"
2,45,8.6602540378,30,18.75,"50,30,0,0","0.75,0.25,0,0"
2,55,8.6602540378,60,81.25,"40,60,0,0","0.25,0.75,0,0"
2,55,8.6602540378,50,48.4375,"50,70,0,0","0.75,0.25,0,0"
2,45,8.2915619759,60,71.875,"30,40,50,60","0.25,0.25,0.25,0.25"
2,45,8.2915619759,50,49.375,"30,40,50,60","0.25,0.25,0.25,0.25"
2,30,0,30,19.0625,"30,0,0,0","1,0,0,0"
2,45,8.6602540378,50,43.4375,"50,30,0,0","0.75,0.25,0,0"
3,55,8.2915619759,50,40.3125,"40,50,60,70","0.25,0.25,0.25,0.25"
3,55,8.6602540378,40,40,"40,60,0,0","0.25,0.75,0,0"
3,55,5,50,50.625,"50,60,0,0","0.5,0.5,0,0"
3,45,8.2915619759,40,29.6875,"30,40,50,60","0.25,0.25,0.25,0.25"
3,55,8.6602540378,60,60.3125,"40,60,0,0","0.25,0.75,0,0"
3,55,8.2915619759,40,40.625,"40,50,60,70","0.25,0.25,0.25,0.25"
3,45,8.2915619759,30,30.625,"30,40,50,60","0.25,0.25,0.25,0.25"
3,55,8.6602540378,60,60,"40,60,0,0","0.25,0.75,0,0"
3,45,8.2915619759,60,45.3125,"30,40,50,60","0.25,0.25,0.25,0.25"
3,55,5,60,61.25,"50,60,0,0","0.5,0.5,0,0"
3,55,8.6602540378,50,61.5625,"50,70,0,0","0.75,0.25,0,0"
3,55,8.2915619759,70,64.375,"40,50,60,70","0.25,0.25,0.25,0.25"
3,45,8.6602540378,60,59.6875,"40,60,0,0","0.75,0.25,0,0"
3,50,0,50,50.3125,"50,0,0,0","1,0,0,0"
3,45,5,40,40,"50,40,0,0","0.5,0.5,0,0"
3,45,8.6602540378,50,45.625,"50,30,0,0","0.75,0.25,0,0"
3,45,8.6602540378,40,40.3125,"40,60,0,0","0.75,0.25,0,0"
3,45,8.2915619759,50,57.8125,"30,40,50,60","0.25,0.25,0.25,0.25"
3,30,0,30,25.625,"30,0,0,0","1,0,0,0"
3,55,8.6602540378,60,46.5625,"40,60,0,0","0.25,0.75,0,0"
3,45,8.6602540378,50,44.375,"50,30,0,0","0.75,0.25,0,0"
3,55,8.6602540378,50,36.25,"50,70,0,0","0.75,0.25,0,0"
3,45,8.6602540378,50,33.75,"50,30,0,0","0.75,0.25,0,0"
3,55,8.2915619759,60,42.8125,"40,50,60,70","0.25,0.25,0.25,0.25"
3,45,8.6602540378,40,34.0625,"40,60,0,0","0.75,0.25,0,0"
3,45,8.6602540378,50,38.4375,"50,30,0,0","0.75,0.25,0,0"
3,60,0,60,46.25,"60,0,0,0","1,0,0,0"
3,45,8.2915619759,40,24.6875,"30,40,50,60","0.25,0.25,0.25,0.25"
3,55,8.6602540378,70,52.8125,"50,70,0,0","0.75,0.25,0,0"
3,30,0,30,24.6875,"30,0,0,0","1,0,0,0"
3,55,8.6602540378,50,41.25,"50,70,0,0","0.75,0.25,0,0"
3,45,8.6602540378,50,42.5,"50,30,0,0","0.75,0.25,0,0"
3,45,8.6602540378,40,34.0625,"40,60,0,0","0.75,0.25,0,0"
3,45,5,50,33.4375,"50,40,0,0","0.5,0.5,0,0"
3,55,8.6602540378,50,48.75,"50,70,0,0","0.75,0.25,0,0"
3,45,8.6602540378,40,38.75,"40,60,0,0","0.75,0.25,0,0"
3,55,8.6602540378,50,32.5,"50,70,0,0","0.75,0.25,0,0"
3,55,5,60,41.25,"50,60,0,0","0.5,0.5,0,0"
3,45,8.6602540378,50,22.5,"50,30,0,0","0.75,0.25,0,0"
3,55,8.2915619759,60,35,"40,50,60,70","0.25,0.25,0.25,0.25"
3,45,8.2915619759,60,40.3125,"30,40,50,60","0.25,0.25,0.25,0.25"
3,50,0,50,42.1875,"50,0,0,0","1,0,0,0"
3,55,8.2915619759,40,28.75,"40,50,60,70","0.25,0.25,0.25,0.25"
3,55,8.2915619759,50,31.25,"40,50,60,70","0.25,0.25,0.25,0.25"
3,45,8.6602540378,60,49.375,"40,60,0,0","0.75,0.25,0,0"
