S,Q,Std,X,R,V,W
1,55,8.6602540378,50,4.6875,"50,70,0,0","0.75,0.25,0,0"
1,60,0,60,7.8125,"60,0,0,0","1,0,0,0"
1,45,8.2915619759,50,7.1875,"30,40,50,60","0.25,0.25,0.25,0.25"
1,50,0,50,9.375,"50,0,0,0","1,0,0,0"
1,45,8.6602540378,60,9.6875,"40,60,0,0","0.75,0.25,0,0"
1,55,8.6602540378,60,14.375,"40,60,0,0","0.25,0.75,0,0"
1,55,8.6602540378,50,15.625,"50,70,0,0","0.75,0.25,0,0"
1,45,8.6602540378,40,8.125,"40,60,0,0","0.75,0.25,0,0"
1,55,5,50,12.1875,"50,60,0,0","0.5,0.5,0,0"
1,55,8.2915619759,50,15,"40,50,60,70","0.25,0.25,0.25,0.25"
1,45,8.6602540378,40,14.375,"40,60,0,0","0.75,0.25,0,0"
1,55,8.6602540378,50,15.625,"50,70,0,0","0.75,0.25,0,0"
1,55,8.6602540378,70,17.1875,"50,70,0,0","0.75,0.25,0,0"
1,55,8.2915619759,40,11.875,"40,50,60,70","0.25,0.25,0.25,0.25"
1,45,5,50,9.375,"50,40,0,0","0.5,0.5,0,0"
1,45,8.6602540378,30,5.3125,"50,30,0,0","0.75,0.25,0,0"
1,45,5,40,13.125,"50,40,0,0","0.5,0.5,0,0"
1,45,8.6602540378,50,15.3125,"50,30,0,0","0.75,0.25,0,0"
1,45,8.2915619759,40,9.0625,"30,40,50,60","0.25,0.25,0.25,0.25"
1,45,8.6602540378,50,14.0625,"50,30,0,0","0.75,0.25,0,0"
1,55,8.2915619759,70,16.5625,"40,50,60,70","0.25,0.25,0.25,0.25"
1,55,8.2915619759,60,13.125,"40,50,60,70","0.25,0.25,0.25,0.25"
1,30,0,30,2.8125,"30,0,0,0","1,0,0,0"
1,55,8.6602540378,60,8.75,"40,60,0,0","0.25,0.75,0,0"
1,40,0,40,5.625,"40,0,0,0","1,0,0,0"
1,45,8.2915619759,30,5.3125,"30,40,50,60","0.25,0.25,0.25,0.25"
1,45,8.6602540378,50,7.5,"50,30,0,0","0.75,0.25,0,0"
1,45,8.2915619759,60,8.125,"30,40,50,60","0.25,0.25,0.25,0.25"
1,55,8.6602540378,60,10.3125,"40,60,0,0","0.25,0.75,0,0"
1,45,8.6602540378,40,7.8125,"40,60,0,0","0.75,0.25,0,0"
